REGION NUMBER,REGION,CHAPTER,STATE,FIELD OFFICE,FTE
6,SOUTHEAST,Southeast Other,AL,Alabama-Statewide,0
7,WEST,West Other,AK,Alaska-Statewide ,0
1,DMV,Virginia,VA,Alexandria Office,7.13
5,SOUTH CENTRAL,South Central Other,AR,Arkansas-Statewide,0
6,SOUTHEAST,Southeast Other,GA,Atlanta Office,16.27
5,SOUTH CENTRAL,Texas,TX,Austin Office,10.26
1,DMV,DMV Other,MD,Baltimore Office,3.65
7,WEST,California,CA,Bay Area Office,3.75
4,NORTHEAST,New England,MA,Boston Office,5.53
3,MIDWEST 2,Midwest 2,IA,Cedar Rapids Office,1.37
6,SOUTHEAST,Southeast Other,SC,Charleston Office,13.7
2,MIDWEST 1,Midwest 1,IL,Chicago Office,20.6
7,WEST,West Other,CO,Denver Office,1.13
4,NORTHEAST,Northeast Other,CT,Connecticut-Statewide,0
5,SOUTH CENTRAL,Texas,TX,Dallas Office,30
4,NORTHEAST,Northeast Other,DE,Delaware-Statewide,0
2,MIDWEST 1,Midwest 1,MI,Detroit Office,13.64
1,DMV,DMV Other,DC,District of Columbia,0
6,SOUTHEAST,Southeast Other,NC,Durham Office,1.5
7,WEST,West Other,HI,Hawaii-Statewide,0
5,SOUTH CENTRAL,Texas,TX,Houston Office,10.71
7,WEST,West Other,ID,Idaho-Statewide,0
3,MIDWEST 2,Midwest 2,IN,Indianapolis Office,2.5
5,SOUTH CENTRAL,South Central Other,KS,Kansas City Office,1
3,MIDWEST 2,Midwest 2,KY,Kentucky - Statewide,0.6
7,WEST,California,CA,Los Angeles Office,16.15
4,NORTHEAST,New England,ME,Maine-Statewide,0
6,SOUTHEAST,Southeast Other,TN,Memphis Office,1
3,MIDWEST 2,Midwest 2,MN,Minneapolis Office,1.5
6,SOUTHEAST,Southeast Other,MS,Mississippi-Statewide,0
7,WEST,West Other,MT,Montana-Statewide,0
3,MIDWEST 2,Midwest 2,NE,Nebraska-Statewide,0
7,WEST,West Other,NV,Nevada-Statewide,0
4,NORTHEAST,New England,NH,New Hampshire-Statewide,0
4,NORTHEAST,Northeast Other,NJ,New Jersey Office,5.1
5,SOUTH CENTRAL,South Central Other,NM,New Mexico-Statewide,0
6,SOUTHEAST,Southeast Other,LA,New Orleans Office,1
4,NORTHEAST,Northeast Other,NY,New York Office,7.13
3,MIDWEST 2,Midwest 2,ND,North Dakota-Statewide,0
3,MIDWEST 2,Midwest 2,OH,Ohio-Statewide,0.5
5,SOUTH CENTRAL,South Central Other,OK,Oklahoma City Office,2
7,WEST,West Other,OR,Oregon-Statewide,0
6,SOUTHEAST,Florida,FL,Orlando Office,4
4,NORTHEAST,Northeast Other,PA,Philadelphia Office,3.25
7,WEST,West Other,AZ,Phoenix Office,4.62
4,NORTHEAST,New England,RI,Rhode Island-Statewide,0
1,DMV,Virginia,VA,Richmond Office,3
7,WEST,California,CA,Sacramento Office,5.5
7,WEST,California,CA,San Diego Office,2.88
7,WEST,West Other,WA,Seattle Office,2.72
3,MIDWEST 2,Midwest 2,SD,South Dakota-Statewide,0
6,SOUTHEAST,Florida,FL,Miami Office,5.37
3,MIDWEST 2,Midwest 2,MO,St. Louis Office,4
6,SOUTHEAST,Florida,FL,Tampa Office,2.12
8,UNASSIGNED,NATIONAL,HQ,Unassigned,0
7,WEST,West Other,UT,Utah-Statewide,0
4,NORTHEAST,New England,VT,Vermont-Statewide,0
1,DMV,DMV Other,WV,West Virginia-Statewide ,0
3,MIDWEST 2,Midwest 2,WI,Wisconsin-Statewide,0
7,WEST,West Other,WY,Wyoming-Statewide,0
