Zip Code,Main City,County,STATE,ASSIGNED TO
94501,Alameda,Alameda County,CA,Bay Area Office
94502,Alameda,Alameda County,CA,Bay Area Office
94536,Fremont,Alameda County,CA,Bay Area Office
94537,Fremont,Alameda County,CA,Bay Area Office
94538,Fremont,Alameda County,CA,Bay Area Office
94539,Fremont,Alameda County,CA,Bay Area Office
94540,Hayward,Alameda County,CA,Bay Area Office
94541,Hayward,Alameda County,CA,Bay Area Office
94542,Hayward,Alameda County,CA,Bay Area Office
94543,Hayward,Alameda County,CA,Bay Area Office
94544,Hayward,Alameda County,CA,Bay Area Office
94545,Hayward,Alameda County,CA,Bay Area Office
94546,Castro Valley,Alameda County,CA,Bay Area Office
94550,Livermore,Alameda County,CA,Bay Area Office
94551,Livermore,Alameda County,CA,Bay Area Office
94552,Castro Valley,Alameda County,CA,Bay Area Office
94555,Fremont,Alameda County,CA,Bay Area Office
94557,Hayward,Alameda County,CA,Bay Area Office
94560,Newark,Alameda County,CA,Bay Area Office
94566,Pleasanton,Alameda County,CA,Bay Area Office
94568,Dublin,Alameda County,CA,Bay Area Office
94577,San Leandro,Alameda County,CA,Bay Area Office
94578,San Leandro,Alameda County,CA,Bay Area Office
94579,San Leandro,Alameda County,CA,Bay Area Office
94580,San Lorenzo,Alameda County,CA,Bay Area Office
94586,Sunol,Alameda County,CA,Bay Area Office
94587,Union City,Alameda County,CA,Bay Area Office
94588,Pleasanton,Alameda County,CA,Bay Area Office
94601,Oakland,Alameda County,CA,Bay Area Office
94602,Oakland,Alameda County,CA,Bay Area Office
94603,Oakland,Alameda County,CA,Bay Area Office
94604,Oakland,Alameda County,CA,Bay Area Office
94605,Oakland,Alameda County,CA,Bay Area Office
94606,Oakland,Alameda County,CA,Bay Area Office
94607,Oakland,Alameda County,CA,Bay Area Office
94608,Emeryville,Alameda County,CA,Bay Area Office
94609,Oakland,Alameda County,CA,Bay Area Office
94610,Oakland,Alameda County,CA,Bay Area Office
94611,Oakland,Alameda County,CA,Bay Area Office
94612,Oakland,Alameda County,CA,Bay Area Office
94613,Oakland,Alameda County,CA,Bay Area Office
94614,Oakland,Alameda County,CA,Bay Area Office
94615,Oakland,Alameda County,CA,Bay Area Office
94617,Oakland,Alameda County,CA,Bay Area Office
94618,Oakland,Alameda County,CA,Bay Area Office
94619,Oakland,Alameda County,CA,Bay Area Office
94620,Piedmont,Alameda County,CA,Bay Area Office
94621,Oakland,Alameda County,CA,Bay Area Office
94622,Oakland,Alameda County,CA,Bay Area Office
94623,Oakland,Alameda County,CA,Bay Area Office
94624,Oakland,Alameda County,CA,Bay Area Office
94625,Oakland,Alameda County,CA,Bay Area Office
94649,Oakland,Alameda County,CA,Bay Area Office
94659,Oakland,Alameda County,CA,Bay Area Office
94660,Oakland,Alameda County,CA,Bay Area Office
94661,Oakland,Alameda County,CA,Bay Area Office
94662,Emeryville,Alameda County,CA,Bay Area Office
94666,Oakland,Alameda County,CA,Bay Area Office
94701,Berkeley,Alameda County,CA,Bay Area Office
94702,Berkeley,Alameda County,CA,Bay Area Office
94703,Berkeley,Alameda County,CA,Bay Area Office
94704,Berkeley,Alameda County,CA,Bay Area Office
94705,Berkeley,Alameda County,CA,Bay Area Office
94706,Albany,Alameda County,CA,Bay Area Office
94707,Berkeley,Alameda County,CA,Bay Area Office
