YEAR,QUARTER,MONTH NAME,MONTH NUMBER,DATE,REGION,CHAPTER,STATE,FIELD OFFICE,REGION NUMBER
2026,Q1,January,1,1/1/2026,NORTHEAST,New England,ME,Maine-Statewide,4
2026,Q1,February,2,2/1/2026,NORTHEAST,New England,ME,Maine-Statewide,4
2026,Q1,March,3,3/1/2026,NORTHEAST,New England,ME,Maine-Statewide,4
2026,Q2,April,4,4/1/2026,NORTHEAST,New England,ME,Maine-Statewide,4
2026,Q2,May,5,5/1/2026,NORTHEAST,New England,ME,Maine-Statewide,4
2026,Q2,June,6,6/1/2026,NORTHEAST,New England,ME,Maine-Statewide,4
2026,Q3,July,7,7/1/2026,NORTHEAST,New England,ME,Maine-Statewide,4
2026,Q3,August,8,8/1/2026,NORTHEAST,New England,ME,Maine-Statewide,4
2026,Q3,September,9,9/1/2026,NORTHEAST,New England,ME,Maine-Statewide,4
2026,Q4,October,10,10/1/2026,NORTHEAST,New England,ME,Maine-Statewide,4
2026,Q4,November,11,11/1/2026,NORTHEAST,New England,ME,Maine-Statewide,4
2026,Q4,December,12,12/1/2026,NORTHEAST,New England,ME,Maine-Statewide,4
2026,Q1,January,1,1/1/2026,NORTHEAST,New England,VT,Vermont-Statewide,4
2026,Q1,February,2,2/1/2026,NORTHEAST,New England,VT,Vermont-Statewide,4
2026,Q1,March,3,3/1/2026,NORTHEAST,New England,VT,Vermont-Statewide,4
2026,Q2,April,4,4/1/2026,NORTHEAST,New England,VT,Vermont-Statewide,4
2026,Q2,May,5,5/1/2026,NORTHEAST,New England,VT,Vermont-Statewide,4
2026,Q2,June,6,6/1/2026,NORTHEAST,New England,VT,Vermont-Statewide,4
2026,Q3,July,7,7/1/2026,NORTHEAST,New England,VT,Vermont-Statewide,4
2026,Q3,August,8,8/1/2026,NORTHEAST,New England,VT,Vermont-Statewide,4
2026,Q3,September,9,9/1/2026,NORTHEAST,New England,VT,Vermont-Statewide,4
2026,Q4,October,10,10/1/2026,NORTHEAST,New England,VT,Vermont-Statewide,4
2026,Q4,November,11,11/1/2026,NORTHEAST,New England,VT,Vermont-Statewide,4
2026,Q4,December,12,12/1/2026,NORTHEAST,New England,VT,Vermont-Statewide,4
2026,Q1,January,1,1/1/2026,NORTHEAST,New England,NH,New Hampshire-Statewide,4
2026,Q1,February,2,2/1/2026,NORTHEAST,New England,NH,New Hampshire-Statewide,4
2026,Q1,March,3,3/1/2026,NORTHEAST,New England,NH,New Hampshire-Statewide,4
2026,Q2,April,4,4/1/2026,NORTHEAST,New England,NH,New Hampshire-Statewide,4
2026,Q2,May,5,5/1/2026,NORTHEAST,New England,NH,New Hampshire-Statewide,4
2026,Q2,June,6,6/1/2026,NORTHEAST,New England,NH,New Hampshire-Statewide,4
2026,Q3,July,7,7/1/2026,NORTHEAST,New England,NH,New Hampshire-Statewide,4
2026,Q3,August,8,8/1/2026,NORTHEAST,New England,NH,New Hampshire-Statewide,4
2026,Q3,September,9,9/1/2026,NORTHEAST,New England,NH,New Hampshire-Statewide,4
2026,Q4,October,10,10/1/2026,NORTHEAST,New England,NH,New Hampshire-Statewide,4
2026,Q4,November,11,11/1/2026,NORTHEAST,New England,NH,New Hampshire-Statewide,4
2026,Q4,December,12,12/1/2026,NORTHEAST,New England,NH,New Hampshire-Statewide,4
2026,Q1,January,1,1/1/2026,NORTHEAST,New England,MA,Boston Office,4
2026,Q1,February,2,2/1/2026,NORTHEAST,New England,MA,Boston Office,4
2026,Q1,March,3,3/1/2026,NORTHEAST,New England,MA,Boston Office,4
2026,Q2,April,4,4/1/2026,NORTHEAST,New England,MA,Boston Office,4
2026,Q2,May,5,5/1/2026,NORTHEAST,New England,MA,Boston Office,4
2026,Q2,June,6,6/1/2026,NORTHEAST,New England,MA,Boston Office,4
2026,Q3,July,7,7/1/2026,NORTHEAST,New England,MA,Boston Office,4
2026,Q3,August,8,8/1/2026,NORTHEAST,New England,MA,Boston Office,4
2026,Q3,September,9,9/1/2026,NORTHEAST,New England,MA,Boston Office,4
2026,Q4,October,10,10/1/2026,NORTHEAST,New England,MA,Boston Office,4
2026,Q4,November,11,11/1/2026,NORTHEAST,New England,MA,Boston Office,4
2026,Q4,December,12,12/1/2026,NORTHEAST,New England,MA,Boston Office,4
2026,Q1,January,1,1/1/2026,NORTHEAST,Northeast Other,CT,Connecticut-Statewide,4
2026,Q1,February,2,2/1/2026,NORTHEAST,Northeast Other,CT,Connecticut-Statewide,4
2026,Q1,March,3,3/1/2026,NORTHEAST,Northeast Other,CT,Connecticut-Statewide,4
2026,Q2,April,4,4/1/2026,NORTHEAST,Northeast Other,CT,Connecticut-Statewide,4
2026,Q2,May,5,5/1/2026,NORTHEAST,Northeast Other,CT,Connecticut-Statewide,4
2026,Q2,June,6,6/1/2026,NORTHEAST,Northeast Other,CT,Connecticut-Statewide,4
2026,Q3,July,7,7/1/2026,NORTHEAST,Northeast Other,CT,Connecticut-Statewide,4
2026,Q3,August,8,8/1/2026,NORTHEAST,Northeast Other,CT,Connecticut-Statewide,4
2026,Q3,September,9,9/1/2026,NORTHEAST,Northeast Other,CT,Connecticut-Statewide,4
2026,Q4,October,10,10/1/2026,NORTHEAST,Northeast Other,CT,Connecticut-Statewide,4
2026,Q4,November,11,11/1/2026,NORTHEAST,Northeast Other,CT,Connecticut-Statewide,4
2026,Q4,December,12,12/1/2026,NORTHEAST,Northeast Other,CT,Connecticut-Statewide,4
2026,Q1,January,1,1/1/2026,NORTHEAST,New England,RI,Rhode Island-Statewide,4
2026,Q1,February,2,2/1/2026,NORTHEAST,New England,RI,Rhode Island-Statewide,4
2026,Q1,March,3,3/1/2026,NORTHEAST,New England,RI,Rhode Island-Statewide,4
2026,Q2,April,4,4/1/2026,NORTHEAST,New England,RI,Rhode Island-Statewide,4
2026,Q2,May,5,5/1/2026,NORTHEAST,New England,RI,Rhode Island-Statewide,4
2026,Q2,June,6,6/1/2026,NORTHEAST,New England,RI,Rhode Island-Statewide,4
2026,Q3,July,7,7/1/2026,NORTHEAST,New England,RI,Rhode Island-Statewide,4
2026,Q3,August,8,8/1/2026,NORTHEAST,New England,RI,Rhode Island-Statewide,4
2026,Q3,September,9,9/1/2026,NORTHEAST,New England,RI,Rhode Island-Statewide,4
2026,Q4,October,10,10/1/2026,NORTHEAST,New England,RI,Rhode Island-Statewide,4
2026,Q4,November,11,11/1/2026,NORTHEAST,New England,RI,Rhode Island-Statewide,4
2026,Q4,December,12,12/1/2026,NORTHEAST,New England,RI,Rhode Island-Statewide,4
2026,Q1,January,1,1/1/2026,NORTHEAST,Northeast Other,NY,New York Office,4
2026,Q1,February,2,2/1/2026,NORTHEAST,Northeast Other,NY,New York Office,4
2026,Q1,March,3,3/1/2026,NORTHEAST,Northeast Other,NY,New York Office,4
2026,Q2,April,4,4/1/2026,NORTHEAST,Northeast Other,NY,New York Office,4
2026,Q2,May,5,5/1/2026,NORTHEAST,Northeast Other,NY,New York Office,4
2026,Q2,June,6,6/1/2026,NORTHEAST,Northeast Other,NY,New York Office,4
2026,Q3,July,7,7/1/2026,NORTHEAST,Northeast Other,NY,New York Office,4
2026,Q3,August,8,8/1/2026,NORTHEAST,Northeast Other,NY,New York Office,4
2026,Q3,September,9,9/1/2026,NORTHEAST,Northeast Other,NY,New York Office,4
2026,Q4,October,10,10/1/2026,NORTHEAST,Northeast Other,NY,New York Office,4
2026,Q4,November,11,11/1/2026,NORTHEAST,Northeast Other,NY,New York Office,4
